mmer1	mmer2
1100	1473
367	1227
923	1309
277	1329
240	1422
964	1198
406	1297
605	1387
45	1395
561	1142
430	1303
282	1233
812	1426
1118	1519
501	1356
318	1327
940	1498
483	1249
42	1164
370	1189
759	1176
692	1504
423	1155
290	1139
149	1123
209	1263
530	1356
409	1510
490	1405
705	1456
672	1196
698	1503
736	1293
701	1358
176	1493
347	1227
170	1210
868	1452
1055	1236
482	1172
637	1442
679	1217
783	1313
62	1177
776	1317
165	1432
159	1263
631	1321
31	1124
849	1559
725	1245
249	1123
404	1136
694	1438
962	1123
137	1555
463	1485
144	1490
387	1366
821	1341
154	1548
212	1151
791	1270
370	1363
1089	1409
758	1439
565	1408
307	1442
237	1294
474	1532
182	1481
217	1296
683	1224
279	1336
413	1538
84	1277
831	1279
494	1265
749	1404
630	1223
657	1348
1059	1482
428	1326
700	1308
1013	1226
326	1377
470	1396
676	1404
582	1210
764	1391
509	1134
814	1121
43	1236
668	1390
619	1268
697	1300
943	1480
262	1151
776	1182
750	1197
583	1170
317	1255
631	1165
834	1565
540	1123
168	1498
865	1337
179	1429
771	1322
267	1154
523	1475
247	1220
89	1438
376	1313
841	1514
323	1215
781	1411
859	1490
618	1313
1106	1248
738	1126
831	1461
1085	1219
466	1469
361	1422
1041	1478
900	1196
823	1492
105	1215
135	1146
889	1459
252	1499
577	1297
4	1176
917	1323
549	1219
810	1393
987	1297
200	1400
617	1163
154	1515
491	1477
123	1380
813	1500
739	1389
558	1259
451	1288
674	1398
454	1479
422	1379
956	1138
393	1286
78	1424
916	1443
1084	1461
543	1512
427	1357
410	1498
233	1286
250	1248
709	1330
260	1567
1034	1538
782	1148
1003	1332
857	1262
1104	1330
254	1159
328	1553
493	1561
253	1520
331	1374
73	1533
1076	1228
1042	1458
1071	1344
207	1489
731	1440
544	1124
983	1394
840	1523
276	1128
291	1312
219	1565
1081	1344
444	1448
117	1190
809	1533
538	1160
363	1518
599	1125
733	1420
374	1554
886	1420
472	1346
652	1152
85	1342
1012	1248
371	1332
935	1128
302	1129
397	1180
100	1187
816	1185
718	1534
591	1249
229	1439
66	1421
522	1563
395	1437
923	1456
898	1188
300	1293
957	1516
1016	1463
1006	1167
1101	1220
232	1172
51	1221
516	1379
261	1139
373	1325
607	1460
989	1448
1027	1131
879	1130
430	1331
959	1411
239	1562
1091	1529
853	1369
382	1257
877	1234
1034	1181
302	1538
260	1258
504	1385
98	1404
106	1298
652	1526
866	1546
1026	1451
315	1455
1005	1412
778	1558
448	1388
365	1241
642	1217
640	1536
1018	1541
319	1166
1108	1191
909	1349
529	1199
82	1173
720	1271
335	1281
1093	1434
670	1348
744	1393
641	1375
747	1536
863	1377
218	1212
46	1257
637	1174
16	1477
404	1356
660	1280
1118	1506
303	1337
377	1233
885	1135
792	1318
1113	1277
381	1157
1054	1306
18	1408
191	1382
164	1524
980	1413
508	1329
0	1496
525	1559
1009	1177
975	1376
343	1420
884	1258
567	1551
741	1286
960	1561
129	1349
101	1384
847	1184
934	1360
190	1437
985	1395
225	1327
1088	1173
447	1547
520	1274
434	1209
902	1505
974	1505
948	1524
958	1444
1030	1251
1086	1481
423	1283
364	1539
467	1241
576	1227
356	1237
324	1477
15	1129
820	1421
905	1168
287	1545
715	1239
435	1209
800	1563
343	1185
1057	1360
502	1291
23	1507
950	1542
471	1351
402	1335
995	1462
638	1371
116	1262
643	1551
730	1124
830	1552
12	1186
384	1121
580	1453
603	1565
112	1210
536	1337
820	1218
598	1417
594	1212
119	1216
1090	1506
181	1524
240	1553
362	1161
959	1494
180	1213
476	1498
1102	1395
714	1218
781	1355
937	1254
1065	1528
712	1260
444	1465
284	1251
137	1281
442	1221
1058	1186
113	1451
684	1150
172	1428
677	1354
1014	1320
253	1362
724	1465
810	1279
1074	1397
1111	1296
1090	1244
83	1233
416	1423
994	1272
671	1201
127	1302
158	1154
374	1534
752	1222
987	1565
993	1323
358	1464
60	1200
598	1161
379	1389
922	1178
398	1359
740	1486
1119	1406
974	1311
337	1189
595	1322
43	1155
141	1288
3	1564
20	1460
498	1342
647	1269
689	1513
401	1508
235	1417
160	1194
222	1536
795	1359
589	1286
420	1207
193	1436
546	1298
710	1203
246	1450
378	1138
329	1383
88	1313
1100	1503
384	1385
972	1156
642	1135
449	1127
64	1396
262	1432
998	1324
546	1168
185	1545
425	1323
843	1458
314	1133
1096	1220
451	1494
445	1267
1039	1185
108	1295
73	1374
577	1161
890	1285
407	1545
998	1313
557	1226
788	1433
753	1136
1012	1522
309	1276
804	1449
777	1392
953	1339
133	1566
1015	1373
526	1452
373	1414
1000	1157
897	1265
1107	1182
988	1195
396	1536
937	1363
563	1158
700	1557
443	1549
774	1280
86	1125
157	1314
608	1396
497	1442
138	1537
252	1317
559	1383
388	1552
426	1292
542	1302
58	1268
1114	1567
104	1183
226	1127
235	1160
378	1420
271	1502
80	1476
803	1242
306	1197
833	1387
710	1303
978	1390
1007	1175
124	1198
265	1229
376	1428
635	1510
530	1326
1052	1424
968	1295
10	1240
772	1361
760	1355
485	1524
258	1338
534	1220
176	1328
915	1202
659	1312
954	1270
97	1301
82	1474
557	1143
1074	1386
1097	1273
583	1353
333	1208
887	1527
386	1468
295	1361
305	1126
601	1122
717	1259
98	1331
467	1231
724	1124
1	1329
480	1133
802	1543
174	1470
335	1515
424	1302
366	1236
961	1557
965	1138
92	1272
970	1129
414	1314
935	1222
619	1173
110	1463
459	1374
125	1282
969	1295
257	1264
727	1202
121	1306
76	1367
695	1224
770	1507
178	1303
1061	1491
306	1447
1115	1414
415	1399
398	1126
86	1433
334	1122
1051	1350
525	1481
334	1170
644	1178
797	1196
119	1409
1073	1187
421	1209
245	1288
806	1298
569	1346
34	1242
115	1481
278	1408
369	1564
417	1485
417	1226
1011	1155
845	1376
476	1179
35	1529
777	1126
876	1122
200	1240
109	1153
225	1478
601	1396
704	1214
268	1494
818	1253
633	1358
296	1311
268	1155
88	1470
976	1566
584	1540
1020	1397
881	1340
83	1488
272	1487
358	1477
754	1310
835	1364
394	1549
617	1422
269	1164
1049	1230
1088	1156
78	1283
368	1359
289	1488
819	1449
161	1138
477	1373
732	1553
395	1362
1048	1171
386	1163
687	1296
919	1540
307	1192
906	1143
217	1280
808	1564
393	1372
862	1163
166	1459
939	1415
