mmer1	mmer2
86	182
2	158
121	160
64	154
15	172
72	165
53	187
87	151
20	163
52	162
68	186
60	149
27	154
126	140
139	155
6	161
94	189
57	167
71	162
127	146
121	171
64	184
102	159
42	144
98	162
123	145
74	143
95	176
116	171
46	193
49	184
51	142
125	175
119	180
26	158
80	179
50	182
111	183
31	194
7	150
127	149
133	180
78	168
45	191
44	194
133	153
58	157
31	164
109	154
11	191
115	188
40	195
126	187
134	151
85	166
103	165
66	194
80	183
66	166
48	176
135	172
137	147
97	153
110	143
98	168
61	181
138	166
75	174
97	156
54	164
39	167
43	171
9	190
100	193
78	149
25	188
34	145
37	192
22	173
73	187
16	184
28	146
14	155
28	174
51	151
104	163
108	182
35	154
59	186
95	189
113	161
17	168
12	144
47	150
48	149
4	148
110	178
26	190
102	181
99	165
69	154
75	149
124	152
83	179
18	168
89	141
131	193
120	144
24	192
109	170
101	170
42	168
61	143
32	153
1	175
120	158
65	170
23	174
14	153
41	187
38	152
39	173
21	163
73	159
13	141
81	175
19	169
63	178
43	160
72	184
25	194
47	175
49	140
100	178
1	190
79	158
29	142
37	156
8	159
108	147
56	182
0	172
58	169
114	190
3	190
59	162
107	195
23	183
123	186
112	188
52	161
60	166
15	158
87	181
53	176
111	141
137	142
8	174
90	165
139	185
113	188
93	176
89	146
62	146
24	195
68	181
82	185
32	182
63	148
4	146
55	162
9	177
57	166
55	170
76	176
77	151
132	171
41	157
91	174
45	161
86	156
134	169
0	143
44	179
81	180
33	177
67	172
7	140
130	155
22	147
6	155
16	193
34	144
91	148
77	145
3	165
79	177
125	185
27	142
106	163
30	195
124	179
105	153
112	180
18	193
117	141
83	164
106	186
69	170
84	143
88	179
118	152
46	189
71	150
128	160
138	192
21	185
130	169
90	147
132	145
2	173
115	167
74	140
10	151
36	186
30	180
96	178
136	155
128	173
114	156
62	159
93	177
92	156
107	150
99	148
5	163
50	177
10	167
33	160
11	167
13	181
105	157
131	169
129	189
92	188
12	144
29	152
117	194
67	195
119	189
135	178
17	159
96	150
103	191
116	185
122	145
76	173
36	175
118	191
136	187
101	140
104	191
5	141
38	184
94	183
54	171
70	147
19	157
122	192
82	164
20	192
65	172
70	157
88	142
35	161
85	148
129	160
40	183
84	152
56	164
