mmer1	mmer2
20	358
205	339
152	317
72	298
264	325
257	376
248	334
14	373
236	386
71	293
8	361
124	364
26	369
26	286
217	359
0	374
11	338
272	381
23	368
140	285
118	342
275	320
193	387
25	322
166	316
149	370
28	354
64	313
4	385
87	308
36	366
134	348
228	335
104	320
214	310
90	341
235	353
27	315
195	288
209	369
144	329
218	302
180	331
1	295
5	294
102	298
15	371
18	332
50	339
206	333
169	345
158	375
105	310
231	285
251	282
272	349
277	383
95	340
176	343
53	365
133	322
244	320
13	283
24	385
188	296
147	374
276	354
53	331
119	319
197	306
211	284
30	288
24	342
29	282
74	355
45	300
32	299
85	372
61	327
14	348
63	370
204	357
179	374
186	280
10	375
16	362
256	324
220	391
139	291
31	322
106	297
9	292
30	356
201	326
171	282
55	338
267	361
216	332
279	297
227	312
99	324
227	314
56	372
40	303
132	357
34	371
239	345
48	378
247	351
90	377
69	360
17	328
146	343
141	304
96	353
166	337
18	281
186	343
125	316
126	306
109	362
94	361
127	315
178	318
144	305
278	388
138	284
202	379
73	354
199	299
250	321
91	349
160	340
100	341
210	350
22	375
250	381
98	385
185	347
241	363
278	309
187	374
229	352
252	337
134	370
94	353
244	381
62	315
54	309
182	281
93	378
165	383
177	293
161	317
208	313
12	297
107	313
160	294
269	335
42	387
46	306
169	312
41	312
249	284
224	309
117	385
196	304
125	337
89	281
171	328
207	281
39	328
62	355
108	390
41	324
98	360
175	325
10	368
234	391
84	295
111	346
38	306
162	300
202	301
101	363
201	314
20	303
47	311
115	285
75	292
192	309
80	319
234	382
42	384
170	286
129	354
57	326
230	324
231	363
183	307
200	325
183	315
3	375
35	390
21	299
275	346
101	299
155	359
140	332
221	341
138	373
225	368
78	301
127	305
126	318
266	286
255	350
270	377
16	384
151	296
215	287
111	362
266	321
80	330
159	347
271	335
254	332
71	383
177	306
259	389
83	385
238	343
92	391
264	335
33	291
85	370
77	349
120	370
262	379
86	354
238	311
132	365
91	380
9	333
168	366
255	346
273	312
12	307
223	363
258	325
0	369
2	390
189	352
178	336
154	351
70	311
157	364
184	298
173	289
156	290
112	327
239	346
6	322
191	329
148	329
245	294
103	346
131	292
233	291
270	314
259	317
161	330
5	365
119	323
15	386
164	322
128	352
194	365
67	339
19	313
213	293
204	304
237	289
54	296
124	326
182	289
236	296
141	342
108	316
256	316
174	372
253	301
179	387
228	331
38	378
121	379
163	348
72	384
7	313
43	381
68	356
243	293
229	324
219	378
249	341
96	386
163	391
28	383
133	362
262	334
263	369
57	334
248	372
136	364
88	333
74	307
158	327
148	364
219	357
75	308
31	298
117	351
25	341
37	366
267	366
251	350
215	304
52	388
122	286
205	338
67	330
276	330
69	307
268	326
66	377
226	366
191	355
73	284
150	323
220	289
82	333
19	300
213	338
23	289
190	371
212	381
162	351
143	310
222	351
48	360
241	344
260	335
36	374
58	331
273	314
237	344
247	294
110	390
149	312
175	364
131	339
47	296
128	284
261	323
232	332
33	386
242	302
76	344
137	319
79	361
92	282
198	361
97	352
84	320
46	287
142	383
76	314
218	353
233	297
100	388
1	295
44	318
155	371
32	376
261	329
216	300
7	328
45	388
82	377
173	326
170	356
224	323
116	293
153	299
115	347
188	350
243	338
176	376
136	290
172	387
252	316
196	319
86	367
199	336
167	325
240	359
222	315
265	378
51	300
232	285
59	305
89	318
146	342
49	317
114	280
52	287
40	363
240	384
39	367
181	358
187	320
157	359
137	347
150	387
265	376
99	286
34	376
263	308
226	368
105	379
6	329
63	390
147	304
113	343
49	285
214	311
81	380
258	349
65	388
77	355
246	373
61	319
135	283
81	321
211	328
35	373
3	294
135	360
59	337
87	308
102	321
193	317
242	292
260	353
83	358
129	362
245	323
51	382
58	302
246	295
279	369
130	382
203	382
235	303
192	352
223	357
64	331
269	327
165	357
274	291
66	339
139	386
50	291
2	349
116	292
60	310
168	280
145	345
254	297
113	371
106	375
29	347
210	290
268	303
159	348
27	389
118	330
122	298
185	356
174	348
153	321
207	280
257	336
43	303
151	389
103	336
253	290
11	290
271	288
145	310
68	302
225	380
180	360
104	305
123	327
164	288
195	311
60	358
184	377
79	379
13	391
109	308
8	367
194	373
70	337
167	340
206	333
217	345
212	342
209	340
142	384
110	365
114	336
189	301
112	356
203	380
120	367
274	295
22	307
156	288
198	309
208	380
44	282
190	355
56	344
21	359
37	318
152	302
93	281
88	280
107	334
200	382
197	283
230	287
4	358
130	350
121	367
95	344
154	389
55	372
17	368
221	301
97	334
143	287
277	345
65	305
172	389
181	283
78	283
123	340
