mmer1	mmer2
70	181
49	158
6	160
126	166
139	186
127	190
0	160
42	142
17	142
115	151
123	168
39	183
13	188
21	175
121	185
97	189
7	142
138	174
119	174
133	187
31	159
45	145
105	155
59	144
45	178
75	190
22	174
131	157
62	175
90	175
110	167
113	140
113	157
46	150
118	147
80	177
12	167
105	195
41	155
93	164
54	188
97	145
23	156
30	153
43	191
20	177
84	184
14	145
77	177
11	149
26	192
110	179
96	152
82	161
66	173
38	190
1	143
92	151
14	184
66	163
130	165
54	140
43	192
88	180
12	194
1	178
27	146
123	184
26	194
36	179
86	170
99	148
87	161
23	170
122	195
21	180
53	155
15	143
98	154
24	168
2	190
137	150
51	189
2	179
124	186
117	164
79	181
128	144
55	175
6	141
29	149
16	169
101	166
77	191
69	182
83	176
137	146
102	186
100	193
33	189
65	187
96	175
53	159
112	178
136	141
48	190
56	162
41	158
120	180
35	144
58	141
25	144
19	195
98	189
108	147
11	194
20	173
47	177
18	140
93	177
114	176
132	146
115	152
124	176
52	179
5	193
130	162
76	170
83	159
88	167
57	153
125	182
78	149
62	193
17	191
118	171
108	193
37	156
40	142
46	145
10	165
70	158
135	183
117	195
81	167
85	186
32	182
139	180
35	181
104	168
91	153
67	183
94	164
33	176
3	172
30	176
22	170
4	167
8	155
127	148
133	162
135	184
107	165
47	189
0	188
61	143
59	178
138	184
38	169
71	156
69	191
81	179
4	160
89	153
94	162
64	183
63	149
111	178
116	157
65	146
131	156
80	147
25	171
103	147
99	194
28	168
104	157
68	143
28	164
39	183
68	157
64	147
55	145
29	150
13	140
128	193
86	148
126	146
63	140
101	154
15	159
120	173
36	169
75	141
122	151
91	162
106	148
52	144
132	164
34	149
31	187
58	166
56	159
50	194
44	141
60	153
103	187
111	191
134	185
102	160
71	168
78	182
57	152
129	166
67	181
119	161
16	154
109	142
44	172
50	174
90	166
74	192
18	174
82	154
9	160
34	182
61	165
114	165
134	192
72	155
107	143
136	158
121	185
100	158
42	173
3	186
40	150
7	185
5	192
37	151
51	161
24	180
87	154
95	170
74	173
9	185
76	172
129	151
19	152
125	148
89	181
10	156
73	161
27	195
106	150
8	172
72	187
60	188
48	172
32	188
112	152
49	163
84	171
85	171
73	169
116	163
95	171
92	163
79	163
109	169
