mmer1	mmer2
18	171
11	189
61	150
137	155
75	170
107	182
109	187
77	164
60	181
19	198
102	182
1	155
83	156
69	175
36	160
82	165
138	162
68	177
2	181
96	189
132	186
32	161
41	180
59	159
117	188
45	190
128	199
108	193
61	185
20	193
106	156
7	181
88	158
71	152
98	183
86	187
124	152
15	159
131	172
147	150
5	167
77	150
111	189
95	184
46	182
69	167
108	153
41	197
6	190
58	185
105	168
37	176
148	184
114	183
118	171
63	195
139	166
89	197
48	170
110	168
53	169
73	162
135	162
16	197
32	173
54	194
19	192
80	185
28	192
70	167
49	171
135	160
35	174
73	181
134	159
83	179
94	184
138	165
21	166
22	172
71	193
54	187
56	185
58	198
147	190
13	180
136	160
119	180
10	195
107	152
144	171
139	168
55	157
88	172
0	170
33	184
56	194
4	153
97	150
34	199
74	190
52	183
16	177
148	186
44	191
64	163
104	198
35	195
98	157
93	163
129	178
149	187
60	199
78	159
127	196
9	174
80	177
25	159
49	169
34	199
79	175
2	196
128	163
84	173
3	158
26	173
12	198
140	152
47	151
66	179
51	190
30	155
0	188
31	175
37	193
106	182
17	154
121	170
33	168
103	192
27	197
43	178
55	176
57	158
102	197
28	163
23	162
146	175
103	191
14	177
89	182
115	166
142	187
25	154
81	160
30	165
8	153
122	157
70	188
124	150
29	190
51	161
10	173
101	197
99	194
131	177
146	166
72	169
5	192
48	178
50	191
92	183
109	183
53	176
27	154
39	179
90	187
12	174
68	156
40	196
120	163
91	172
39	159
42	156
63	154
40	151
84	151
8	160
101	196
115	179
125	179
85	164
92	178
36	164
87	161
110	193
129	152
100	188
9	165
67	175
22	184
95	196
45	170
123	186
76	175
114	176
4	191
111	166
116	178
137	196
133	174
149	189
90	164
57	176
43	158
24	192
20	155
145	188
38	198
59	188
65	168
52	155
26	194
74	199
105	160
116	163
119	180
91	173
38	171
133	178
6	189
23	156
132	158
66	166
143	167
87	168
47	162
93	172
120	198
67	169
65	181
97	185
112	195
113	153
11	192
3	177
141	167
24	193
113	180
118	180
75	155
136	151
126	179
130	153
130	183
46	162
81	194
121	174
79	156
142	195
122	152
143	150
21	154
29	165
1	164
123	154
82	194
96	161
7	164
31	186
127	176
64	185
140	186
44	151
112	195
72	191
85	169
15	151
141	170
18	157
78	184
50	189
86	165
145	191
42	161
94	181
134	182
62	174
17	158
126	169
117	173
125	186
14	171
13	199
104	161
76	157
62	157
144	167
100	172
99	153
